"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::score","stringdb::textmining"
"12.26386113886114","pp","CD2 (pp) CD8A","false","pp","CD2 (pp) CD8A","0.807",,,,"0.888","0.442"
"19.184615384615384","pp","CD2 (pp) PRF1","false","pp","CD2 (pp) PRF1","0.564",,,,"0.837","0.642"
"30.36228196867674","pp","CD2 (pp) CD3G","false","pp","CD2 (pp) CD3G","0.55",,,,"0.738","0.442"
"80.93333333333334","pp","CD2 (pp) CD48","false","pp","CD2 (pp) CD48","0.551",,,"0.379","0.942","0.809"
"7.912750305092902","pp","GZMK (pp) GZMA","false","pp","GZMK (pp) GZMA","0.907","0.079",,,"0.916","0.106"
"34.46743842279861","pp","GZMK (pp) CD2","false","pp","GZMK (pp) CD2","0.809",,,,"0.859","0.293"
"25.05910508946527","pp","GZMK (pp) CD8A","false","pp","GZMK (pp) CD8A","0.774",,,,"0.774",
"7.319039515976555","pp","GZMK (pp) PRF1","false","pp","GZMK (pp) PRF1","0.286",,,,"0.742","0.653"
"78.0","pp","ARHGAP15 (pp) RHOH","false","pp","ARHGAP15 (pp) RHOH","0.17",,"0.9","0.109","0.922","0.074"
"2.3626373626373627","pp","HLA-DRA (pp) HLA-DPA1","false","pp","HLA-DRA (pp) HLA-DPA1","0.56",,"0.9",,"0.955","0.072"
"24.266336875303868","pp","HLA-DRA (pp) HLA-DMB","false","pp","HLA-DRA (pp) HLA-DMB","0.819",,"0.9","0.76","0.996","0.259"
"2.0","pp","HLA-DRA (pp) HLA-DPB1","false","pp","HLA-DRA (pp) HLA-DPB1","0.394",,"0.9","0.195","0.959","0.272"
"12.964826125218888","pp","HLA-DRA (pp) CD3G","false","pp","HLA-DRA (pp) CD3G","0.063",,"0.9",,"0.934","0.354"
"9.233333333333333","pp","ZAP70 (pp) CD3D","false","pp","ZAP70 (pp) CD3D","0.688",,"0.9","0.172","0.986","0.53"
"36.88393840392926","pp","ZAP70 (pp) CTLA4","false","pp","ZAP70 (pp) CTLA4","0.193",,,"0.05","0.86","0.832"
"10.265874811463048","pp","ZAP70 (pp) CD8B","false","pp","ZAP70 (pp) CD8B","0.563",,"0.9",,"0.967","0.309"
"10.25","pp","ZAP70 (pp) LCK","false","pp","ZAP70 (pp) LCK","0.534",,"0.9","0.472","0.979","0.27"
"31.857142857142854","pp","ZAP70 (pp) SKAP1","false","pp","ZAP70 (pp) SKAP1","0.144",,"0.36","0.057","0.722","0.527"
"15.834371184371186","pp","ZAP70 (pp) CD5","false","pp","ZAP70 (pp) CD5","0.348",,,"0.38","0.87","0.705"
"5.25","pp","ZAP70 (pp) CD3E","false","pp","ZAP70 (pp) CD3E","0.717",,"0.9","0.395","0.99","0.491"
"7.945970695970696","pp","ZAP70 (pp) CD247","false","pp","ZAP70 (pp) CD247","0.602",,"0.9","0.915","0.998","0.709"
"40.210550366945135","pp","ZAP70 (pp) CD2","false","pp","ZAP70 (pp) CD2","0.532",,,,"0.775","0.54"
"61.71428571428571","pp","ZAP70 (pp) RHOH","false","pp","ZAP70 (pp) RHOH","0.126",,,"0.172","0.745","0.675"
"25.10738427017807","pp","ZAP70 (pp) HLA-DRA","false","pp","ZAP70 (pp) HLA-DRA","0.117",,"0.9",,"0.913","0.1"
"17.271653033052388","pp","ZAP70 (pp) CD8A","false","pp","ZAP70 (pp) CD8A","0.185",,"0.9","0.079","0.945","0.362"
"27.197834286203534","pp","ZAP70 (pp) HLA-DPA1","false","pp","ZAP70 (pp) HLA-DPA1","0.117",,"0.9",,"0.91","0.069"
"25.10738427017807","pp","ZAP70 (pp) HLA-DPB1","false","pp","ZAP70 (pp) HLA-DPB1","0.076",,"0.9",,"0.91","0.109"
"6.269047619047619","pp","ZAP70 (pp) CD3G","false","pp","ZAP70 (pp) CD3G","0.318",,"0.9","0.172","0.971","0.555"
"12.201037851037855","pp","CD5 (pp) CD3E","false","pp","CD5 (pp) CD3E","0.577",,,,"0.788","0.521"
"14.133333333333335","pp","CD5 (pp) CD2","false","pp","CD5 (pp) CD2","0.516",,,"0.379","0.978","0.934"
"10.09848484848485","pp","CD5 (pp) CD8A","false","pp","CD5 (pp) CD8A","0.187",,,,"0.817","0.784"
"2.5","pp","GZMH (pp) GZMK","false","pp","GZMH (pp) GZMK","0.678","0.099",,,"0.732","0.152"
"8.412750305092903","pp","GZMH (pp) GZMA","false","pp","GZMH (pp) GZMA","0.816","0.092",,,"0.842","0.128"
"34.9674384227986","pp","GZMH (pp) CD2","false","pp","GZMH (pp) CD2","0.727",,,,"0.775","0.21"
"24.300771756131937","pp","GZMH (pp) CD8A","false","pp","GZMH (pp) CD8A","0.78",,,,"0.78",
"7.819039515976555","pp","GZMH (pp) PRF1","false","pp","GZMH (pp) PRF1","0.782",,,,"0.88","0.472"
"48.488225957022","pp","TBX21 (pp) IL2RB","false","pp","TBX21 (pp) IL2RB","0.313",,,,"0.862","0.807"
"22.873469785866245","pp","TBX21 (pp) GZMA","false","pp","TBX21 (pp) GZMA","0.46",,,"0.05","0.752","0.556"
"31.73860113740634","pp","TBX21 (pp) CTLA4","false","pp","TBX21 (pp) CTLA4","0.135",,,,"0.788","0.765"
"43.733694516093266","pp","TBX21 (pp) RUNX3","false","pp","TBX21 (pp) RUNX3","0.152",,"0.8","0.127","0.965","0.796"
"16.49789980030084","pp","TBX21 (pp) PRF1","false","pp","TBX21 (pp) PRF1","0.34",,,,"0.799","0.708"
"13.064502164502166","pp","TBX21 (pp) TIGIT","false","pp","TBX21 (pp) TIGIT","0.171",,,,"0.703","0.656"
"24.26633687530387","pp","HLA-DMA (pp) HLA-DRA","false","pp","HLA-DMA (pp) HLA-DRA","0.479",,"0.9","0.87","0.994","0.234"
"19.467326249392237","pp","HLA-DMA (pp) HLA-DPA1","false","pp","HLA-DMA (pp) HLA-DPA1","0.443",,"0.9",,"0.952","0.22"
"2.0","pp","HLA-DMA (pp) HLA-DMB","false","pp","HLA-DMA (pp) HLA-DMB","0.771",,"0.9","0.826","0.999","0.949"
"24.26633687530387","pp","HLA-DMA (pp) HLA-DPB1","false","pp","HLA-DMA (pp) HLA-DPB1","0.244",,"0.9","0.195","0.977","0.674"
"32.93269241849895","pp","GZMA (pp) CD3D","false","pp","GZMA (pp) CD3D","0.563",,,,"0.727","0.4"
"18.55027176154688","pp","GZMA (pp) CD247","false","pp","GZMA (pp) CD247","0.561",,,,"0.726","0.4"
"18.633333333333333","pp","GZMA (pp) CD2","false","pp","GZMA (pp) CD2","0.824",,,,"0.88","0.349"
"9.70681818181818","pp","GZMA (pp) CD8A","false","pp","GZMA (pp) CD8A","0.776",,,,"0.816","0.211"
"3.0769230769230766","pp","GZMA (pp) PRF1","false","pp","GZMA (pp) PRF1","0.729",,"0.9",,"0.996","0.87"
"15.742268972852626","pp","IL2RB (pp) ZAP70","false","pp","IL2RB (pp) ZAP70","0.582",,,,"0.742","0.409"
"8.924999999999997","pp","IL2RB (pp) GZMA","false","pp","IL2RB (pp) GZMA","0.591",,,,"0.766","0.453"
"12.694649925233582","pp","IL2RB (pp) CD3D","false","pp","IL2RB (pp) CD3D","0.312",,"0.9",,"0.945","0.268"
"9.672194472194471","pp","IL2RB (pp) CTLA4","false","pp","IL2RB (pp) CTLA4","0.156",,,,"0.709","0.67"
