"D"	"H"	"P"
"ENSG00000000003"	FALSE	FALSE	FALSE
"ENSG00000000005"	TRUE	TRUE	FALSE
"ENSG00000000419"	FALSE	FALSE	FALSE
"ENSG00000000457"	FALSE	FALSE	FALSE
"ENSG00000000460"	TRUE	TRUE	FALSE
"ENSG00000000938"	TRUE	TRUE	TRUE
"ENSG00000000971"	TRUE	TRUE	FALSE
"ENSG00000001036"	FALSE	FALSE	FALSE
"ENSG00000001084"	FALSE	FALSE	FALSE
"ENSG00000001167"	FALSE	FALSE	FALSE
"ENSG00000001460"	FALSE	FALSE	FALSE
"ENSG00000001461"	TRUE	TRUE	FALSE
"ENSG00000001497"	FALSE	FALSE	FALSE
"ENSG00000001561"	TRUE	TRUE	FALSE
"ENSG00000001617"	TRUE	FALSE	FALSE
"ENSG00000001629"	FALSE	FALSE	FALSE
"ENSG00000001631"	TRUE	FALSE	FALSE
"ENSG00000002016"	FALSE	FALSE	FALSE
"ENSG00000002330"	FALSE	FALSE	FALSE
"ENSG00000002549"	FALSE	FALSE	FALSE
"ENSG00000002587"	TRUE	FALSE	FALSE
"ENSG00000002822"	FALSE	FALSE	FALSE
"ENSG00000002834"	FALSE	FALSE	FALSE
"ENSG00000002919"	FALSE	FALSE	FALSE
"ENSG00000002933"	FALSE	FALSE	FALSE
"ENSG00000003056"	FALSE	FALSE	FALSE
"ENSG00000003096"	TRUE	TRUE	FALSE
"ENSG00000003137"	FALSE	FALSE	FALSE
"ENSG00000003147"	FALSE	FALSE	FALSE
"ENSG00000003249"	TRUE	TRUE	FALSE
"ENSG00000003393"	FALSE	FALSE	FALSE
"ENSG00000003400"	FALSE	FALSE	FALSE
"ENSG00000003402"	TRUE	TRUE	FALSE
"ENSG00000003436"	TRUE	TRUE	FALSE
"ENSG00000003509"	FALSE	FALSE	FALSE
"ENSG00000003756"	FALSE	FALSE	FALSE
"ENSG00000003989"	TRUE	TRUE	FALSE
"ENSG00000004059"	FALSE	FALSE	FALSE
"ENSG00000004139"	TRUE	TRUE	FALSE
"ENSG00000004142"	FALSE	FALSE	FALSE
"ENSG00000004399"	FALSE	FALSE	FALSE
"ENSG00000004455"	FALSE	FALSE	FALSE
"ENSG00000004468"	TRUE	TRUE	TRUE
"ENSG00000004478"	FALSE	FALSE	FALSE
"ENSG00000004487"	FALSE	FALSE	FALSE
"ENSG00000004534"	FALSE	FALSE	FALSE
"ENSG00000004660"	FALSE	TRUE	FALSE
"ENSG00000004700"	FALSE	FALSE	FALSE
"ENSG00000004766"	FALSE	FALSE	FALSE
"ENSG00000004776"	TRUE	FALSE	FALSE
"ENSG00000004777"	TRUE	TRUE	FALSE
"ENSG00000004779"	FALSE	FALSE	FALSE
"ENSG00000004799"	TRUE	TRUE	FALSE
