"DEgenes_DCM"	"DEgenes_HCM"	"DEgenes_PPCM"	"DEgenes_IntDCM"	"DEgenes_IntHCM"
"ENSG00000115602"	"ENSG00000115602"	"ENSG00000115602"	"ENSG00000131781"	"ENSG00000131781"
"ENSG00000233485"	"ENSG00000142973"	"ENSG00000180772"	"ENSG00000168621"	NA
"ENSG00000188536"	"ENSG00000100095"	"ENSG00000261713"	"ENSG00000226015"	NA
"ENSG00000100095"	"ENSG00000152086"	"ENSG00000244734"	"ENSG00000112139"	NA
"ENSG00000169436"	"ENSG00000075886"	"ENSG00000188536"	"ENSG00000141404"	NA
"ENSG00000106483"	"ENSG00000144406"	"ENSG00000162009"	NA	NA
"ENSG00000244734"	"ENSG00000267653"	"ENSG00000152086"	NA	NA
"ENSG00000181195"	"ENSG00000106483"	"ENSG00000187922"	NA	NA
"ENSG00000206172"	"ENSG00000171885"	"ENSG00000137558"	NA	NA
"ENSG00000198768"	"ENSG00000198768"	"ENSG00000206172"	NA	NA
"ENSG00000164694"	"ENSG00000169436"	"ENSG00000265356"	NA	NA
"ENSG00000187922"	"ENSG00000106236"	"ENSG00000171885"	NA	NA
"ENSG00000162383"	"ENSG00000181195"	"ENSG00000162383"	NA	NA
"ENSG00000179639"	"ENSG00000187922"	"ENSG00000075886"	NA	NA
"ENSG00000137558"	"ENSG00000233485"	"ENSG00000169245"	NA	NA
"ENSG00000254636"	"ENSG00000077274"	"ENSG00000142973"	NA	NA
"ENSG00000152086"	"ENSG00000150551"	"ENSG00000169436"	NA	NA
"ENSG00000197616"	"ENSG00000162383"	"ENSG00000267206"	NA	NA
"ENSG00000077274"	"ENSG00000123500"	"ENSG00000164694"	NA	NA
"ENSG00000150551"	"ENSG00000170162"	"ENSG00000233485"	NA	NA
"ENSG00000143768"	"ENSG00000157152"	"ENSG00000121005"	NA	NA
"ENSG00000145681"	"ENSG00000261787"	"ENSG00000181195"	NA	NA
"ENSG00000075886"	"ENSG00000188257"	"ENSG00000080644"	NA	NA
"ENSG00000100450"	"ENSG00000125869"	"ENSG00000188257"	NA	NA
"ENSG00000169245"	"ENSG00000179639"	"ENSG00000267653"	NA	NA
"ENSG00000125869"	"ENSG00000188536"	"ENSG00000106483"	NA	NA
"ENSG00000101825"	"ENSG00000079689"	"ENSG00000090920"	NA	NA
"ENSG00000000005"	"ENSG00000244734"	"ENSG00000128285"	NA	NA
"ENSG00000121005"	"ENSG00000101197"	"ENSG00000198768"	NA	NA
"ENSG00000225526"	"ENSG00000121005"	"ENSG00000092009"	NA	NA
"ENSG00000092009"	"ENSG00000101825"	"ENSG00000106236"	NA	NA
"ENSG00000080644"	"ENSG00000101892"	"ENSG00000233098"	NA	NA
"ENSG00000138356"	"ENSG00000171476"	"ENSG00000223764"	NA	NA
"ENSG00000144406"	"ENSG00000206172"	"ENSG00000254636"	NA	NA
"ENSG00000142973"	"ENSG00000131386"	"ENSG00000162747"	NA	NA
"ENSG00000079689"	"ENSG00000115590"	"ENSG00000125869"	NA	NA
"ENSG00000265542"	"ENSG00000138356"	"ENSG00000101825"	NA	NA
"ENSG00000123500"	"ENSG00000101187"	"ENSG00000100095"	NA	NA
"ENSG00000267206"	"ENSG00000142748"	"ENSG00000077274"	NA	NA
"ENSG00000106236"	"ENSG00000164283"	"ENSG00000138356"	NA	NA
"ENSG00000267653"	"ENSG00000145681"	"ENSG00000173930"	NA	NA
"ENSG00000142748"	"ENSG00000080644"	"ENSG00000117152"	NA	NA
"ENSG00000229246"	"ENSG00000177575"	"ENSG00000272327"	NA	NA
"ENSG00000188257"	"ENSG00000197616"	"ENSG00000115590"	NA	NA
"ENSG00000177575"	"ENSG00000164694"	"ENSG00000145681"	NA	NA
"ENSG00000124713"	"ENSG00000109265"	"ENSG00000109265"	NA	NA
"ENSG00000115163"	"ENSG00000265542"	"ENSG00000079689"	NA	NA
"ENSG00000233098"	"ENSG00000267206"	"ENSG00000166448"	NA	NA
"ENSG00000223764"	"ENSG00000169245"	"ENSG00000186529"	NA	NA
"ENSG00000109265"	"ENSG00000233968"	"ENSG00000197299"	NA	NA
"ENSG00000260186"	"ENSG00000096060"	"ENSG00000179639"	NA	NA
"ENSG00000163082"	"ENSG00000171101"	"ENSG00000146250"	NA	NA
"ENSG00000101187"	"ENSG00000138311"	"ENSG00000266743"	NA	NA
"ENSG00000169248"	"ENSG00000117152"	"ENSG00000135116"	NA	NA
"ENSG00000105374"	"ENSG00000000005"	"ENSG00000158859"	NA	NA
"ENSG00000161570"	"ENSG00000092009"	"ENSG00000142748"	NA	NA
"ENSG00000229221"	"ENSG00000229221"	"ENSG00000127533"	NA	NA
"ENSG00000180772"	"ENSG00000173432"	"ENSG00000197616"	NA	NA
"ENSG00000183908"	"ENSG00000134240"	"ENSG00000146013"	NA	NA
"ENSG00000143595"	"ENSG00000265356"	"ENSG00000169248"	NA	NA
"ENSG00000171476"	"ENSG00000180730"	"ENSG00000183908"	NA	NA
"ENSG00000171885"	"ENSG00000180772"	"ENSG00000177575"	NA	NA
"ENSG00000174332"	"ENSG00000163082"	"ENSG00000108576"	NA	NA
"ENSG00000115590"	"ENSG00000147041"	"ENSG00000159640"	NA	NA
"ENSG00000182132"	"ENSG00000260186"	"ENSG00000164530"	NA	NA
"ENSG00000267577"	"ENSG00000223764"	"ENSG00000157152"	NA	NA
"ENSG00000248713"	"ENSG00000197299"	"ENSG00000260186"	NA	NA
"ENSG00000158481"	"ENSG00000168530"	"ENSG00000101187"	NA	NA
"ENSG00000100453"	"ENSG00000174332"	"ENSG00000180999"	NA	NA
"ENSG00000175356"	"ENSG00000143768"	"ENSG00000152672"	NA	NA
"ENSG00000232480"	"ENSG00000232480"	"ENSG00000150551"	NA	NA
"ENSG00000179300"	"ENSG00000168329"	"ENSG00000171476"	NA	NA
"ENSG00000131386"	"ENSG00000124713"	"ENSG00000138378"	NA	NA
"ENSG00000162998"	"ENSG00000183908"	"ENSG00000249816"	NA	NA
"ENSG00000156475"	"ENSG00000237928"	"ENSG00000172020"	NA	NA
"ENSG00000100448"	"ENSG00000184544"	"ENSG00000159166"	NA	NA
"ENSG00000175206"	"ENSG00000233098"	"ENSG00000096060"	NA	NA
"ENSG00000166448"	"ENSG00000019169"	"ENSG00000175592"	NA	NA
"ENSG00000096060"	"ENSG00000112280"	"ENSG00000168329"	NA	NA
"ENSG00000110492"	"ENSG00000166448"	"ENSG00000131386"	NA	NA
"ENSG00000115592"	"ENSG00000198838"	"ENSG00000106809"	NA	NA
"ENSG00000120937"	"ENSG00000169248"	"ENSG00000135114"	NA	NA
"ENSG00000235711"	"ENSG00000235711"	"ENSG00000162998"	NA	NA
"ENSG00000118849"	"ENSG00000162998"	"ENSG00000118849"	NA	NA
"ENSG00000233968"	"ENSG00000115163"	"ENSG00000257259"	NA	NA
"ENSG00000106819"	"ENSG00000124343"	"ENSG00000115592"	NA	NA
"ENSG00000196666"	"ENSG00000175356"	"ENSG00000124713"	NA	NA
"ENSG00000159640"	"ENSG00000211892"	"ENSG00000227507"	NA	NA
"ENSG00000173432"	"ENSG00000106819"	"ENSG00000159339"	NA	NA
"ENSG00000172543"	"ENSG00000175874"	"ENSG00000163082"	NA	NA
"ENSG00000138311"	"ENSG00000182902"	"ENSG00000187193"	NA	NA
"ENSG00000143816"	"ENSG00000132681"	"ENSG00000143768"	NA	NA
"ENSG00000168329"	"ENSG00000155659"	"ENSG00000106819"	NA	NA
"ENSG00000164283"	"ENSG00000175206"	"ENSG00000100448"	NA	NA
"ENSG00000158859"	"ENSG00000018280"	"ENSG00000147588"	NA	NA
"ENSG00000135116"	"ENSG00000205362"	"ENSG00000134817"	NA	NA
"ENSG00000179954"	"ENSG00000130054"	"ENSG00000091128"	NA	NA
"ENSG00000266743"	"ENSG00000225526"	"ENSG00000250497"	NA	NA
"ENSG00000147378"	"ENSG00000261606"	"ENSG00000110492"	NA	NA
"ENSG00000124343"	"ENSG00000165105"	"ENSG00000182667"	NA	NA
"ENSG00000105664"	"ENSG00000183715"	"ENSG00000249307"	NA	NA
"ENSG00000157152"	"ENSG00000173597"	"ENSG00000164089"	NA	NA
"ENSG00000196632"	"ENSG00000144644"	"ENSG00000100033"	NA	NA
"ENSG00000090920"	"ENSG00000118849"	"ENSG00000170439"	NA	NA
"ENSG00000162747"	"ENSG00000100448"	"ENSG00000124780"	NA	NA
"ENSG00000227507"	"ENSG00000135678"	"ENSG00000175874"	NA	NA
"ENSG00000101197"	"ENSG00000124479"	"ENSG00000156466"	NA	NA
"ENSG00000139329"	"ENSG00000272327"	"ENSG00000130054"	NA	NA
"ENSG00000197299"	"ENSG00000133800"	"ENSG00000162873"	NA	NA
"ENSG00000173597"	"ENSG00000254636"	"ENSG00000105374"	NA	NA
"ENSG00000196684"	"ENSG00000140506"	"ENSG00000225978"	NA	NA
"ENSG00000187634"	"ENSG00000187730"	"ENSG00000139329"	NA	NA
"ENSG00000272327"	"ENSG00000120937"	"ENSG00000154027"	NA	NA
"ENSG00000180999"	"ENSG00000147378"	"ENSG00000264569"	NA	NA
"ENSG00000159166"	"ENSG00000260484"	"ENSG00000263812"	NA	NA
"ENSG00000237928"	"ENSG00000182132"	"ENSG00000132681"	NA	NA
"ENSG00000156466"	"ENSG00000267577"	"ENSG00000100450"	NA	NA
"ENSG00000112280"	"ENSG00000137558"	"ENSG00000265542"	NA	NA
"ENSG00000155659"	"ENSG00000156466"	"ENSG00000156475"	NA	NA
"ENSG00000186529"	"ENSG00000164484"	"ENSG00000187634"	NA	NA
"ENSG00000169126"	"ENSG00000182107"	"ENSG00000026751"	NA	NA
"ENSG00000180730"	"ENSG00000135116"	"ENSG00000139193"	NA	NA
"ENSG00000261787"	"ENSG00000164879"	"ENSG00000161570"	NA	NA
"ENSG00000136011"	"ENSG00000267339"	"ENSG00000165105"	NA	NA
"ENSG00000245164"	"ENSG00000156475"	"ENSG00000179813"	NA	NA
"ENSG00000106809"	"ENSG00000158481"	"ENSG00000165272"	NA	NA
"ENSG00000026751"	"ENSG00000211448"	"ENSG00000172543"	NA	NA
"ENSG00000198838"	"ENSG00000268433"	"ENSG00000196542"	NA	NA
"ENSG00000145649"	"ENSG00000178343"	"ENSG00000182902"	NA	NA
"ENSG00000153446"	"ENSG00000159173"	"ENSG00000173597"	NA	NA
"ENSG00000164530"	"ENSG00000164220"	"ENSG00000232229"	NA	NA
"ENSG00000180644"	"ENSG00000159640"	"ENSG00000266588"	NA	NA
"ENSG00000168619"	"ENSG00000266743"	"ENSG00000166343"	NA	NA
"ENSG00000134817"	"ENSG00000139329"	"ENSG00000007062"	NA	NA
"ENSG00000135114"	"ENSG00000121933"	"ENSG00000182132"	NA	NA
"ENSG00000164483"	"ENSG00000100450"	"ENSG00000261244"	NA	NA
"ENSG00000141314"	"ENSG00000078098"	"ENSG00000179954"	NA	NA
"ENSG00000211829"	"ENSG00000008394"	"ENSG00000155659"	NA	NA
"ENSG00000124479"	"ENSG00000134817"	"ENSG00000129048"	NA	NA
"ENSG00000134240"	"ENSG00000229246"	"ENSG00000133800"	NA	NA
"ENSG00000164946"	"ENSG00000250208"	"ENSG00000196666"	NA	NA
"ENSG00000133800"	"ENSG00000110492"	"ENSG00000176659"	NA	NA
"ENSG00000159173"	"ENSG00000154027"	"ENSG00000144406"	NA	NA
"ENSG00000129009"	"ENSG00000170579"	"ENSG00000231274"	NA	NA
"ENSG00000138378"	"ENSG00000155886"	"ENSG00000189350"	NA	NA
"ENSG00000249816"	"ENSG00000110076"	"ENSG00000237928"	NA	NA
"ENSG00000138755"	"ENSG00000196666"	"ENSG00000196684"	NA	NA
"ENSG00000112562"	"ENSG00000149403"	"ENSG00000179136"	NA	NA
"ENSG00000118137"	"ENSG00000168619"	"ENSG00000092969"	NA	NA
"ENSG00000124780"	"ENSG00000135914"	"ENSG00000140932"	NA	NA
"ENSG00000183160"	"ENSG00000196632"	"ENSG00000223802"	NA	NA
"ENSG00000172020"	"ENSG00000225756"	"ENSG00000235118"	NA	NA
"ENSG00000182667"	"ENSG00000138378"	"ENSG00000224842"	NA	NA
"ENSG00000119714"	"ENSG00000183888"	"ENSG00000175356"	NA	NA
"ENSG00000170439"	"ENSG00000166923"	"ENSG00000229221"	NA	NA
"ENSG00000117152"	"ENSG00000179083"	"ENSG00000188015"	NA	NA
"ENSG00000172061"	"ENSG00000249816"	"ENSG00000230746"	NA	NA
"ENSG00000154027"	"ENSG00000122877"	"ENSG00000019505"	NA	NA
"ENSG00000130592"	"ENSG00000138379"	"ENSG00000251576"	NA	NA
"ENSG00000169181"	"ENSG00000143595"	"ENSG00000196632"	NA	NA
"ENSG00000248587"	"ENSG00000187634"	"ENSG00000137078"	NA	NA
"ENSG00000232110"	"ENSG00000187955"	"ENSG00000174332"	NA	NA
"ENSG00000223802"	"ENSG00000158859"	"ENSG00000267577"	NA	NA
"ENSG00000162881"	"ENSG00000253369"	"ENSG00000145649"	NA	NA
"ENSG00000175874"	"ENSG00000136011"	"ENSG00000124256"	NA	NA
"ENSG00000197444"	"ENSG00000135114"	"ENSG00000229246"	NA	NA
"ENSG00000145861"	"ENSG00000236714"	"ENSG00000138311"	NA	NA
"ENSG00000265356"	"ENSG00000078725"	"ENSG00000235711"	NA	NA
"ENSG00000110076"	"ENSG00000139289"	"ENSG00000156414"	NA	NA
"ENSG00000168907"	"ENSG00000170439"	"ENSG00000114654"	NA	NA
"ENSG00000260484"	"ENSG00000118298"	"ENSG00000105894"	NA	NA
"ENSG00000018280"	"ENSG00000154080"	"ENSG00000137819"	NA	NA
